"Date_evenement";"Zone";"Communes_a_envoi_dematerialise_Deces2020";"Total_deces_2020";"Communes_a_envoi_dematerialise_Deces2019";"Total_deces_2019";"Communes_a_envoi_dematerialise_Deces2018";"Total_deces_2018"
"01/03/2020";"France";1623;1773;1708;1872;1928;2136
"02/03/2020";"France";3260;3550;3467;3782;3933;4327
"03/03/2020";"France";4886;5307;5035;5530;5881;6455
"04/03/2020";"France";6563;7107;6747;7410;7768;8545
"05/03/2020";"France";8185;8872;8455;9278;9770;10746
"06/03/2020";"France";9881;10708;10178;11148;11732;12904
"07/03/2020";"France";11415;12387;11857;13007;13616;14959
"08/03/2020";"France";12983;14087;13513;14808;15543;17066
"09/03/2020";"France";14651;15893;15131;16581;17430;19115
"10/03/2020";"France";16302;17707;16653;18248;19325;21201
"11/03/2020";"France";18038;19583;18276;20014;21083;23143
"12/03/2020";"France";19669;21362;19863;21720;22938;25190
"13/03/2020";"France";21319;23140;21392;23411;24733;27170
"14/03/2020";"France";22945;24903;22950;25129;26483;29097
"15/03/2020";"France";24638;26751;24539;26874;28214;30995
"16/03/2020";"France";26466;28744;26099;28594;29961;32902
"17/03/2020";"France";28349;30776;27582;30229;31631;34742
"18/03/2020";"France";30186;32773;29194;31986;33236;36533
"19/03/2020";"France";32120;34864;30726;33670;34896;38356
"20/03/2020";"France";33999;36886;32229;35331;36529;40147
"21/03/2020";"France";35795;38810;33786;37032;38269;42049
"22/03/2020";"France";37655;40826;35335;38720;40021;43941
"23/03/2020";"France";39626;42960;36899;40418;41679;45767
"24/03/2020";"France";41636;45096;38402;42046;43387;47652
"25/03/2020";"France";43779;47406;39926;43711;45037;49469
"26/03/2020";"France";45995;49772;41418;45336;46730;51322
"27/03/2020";"France";48219;52172;42963;47022;48441;53182
"28/03/2020";"France";50506;54654;44511;48712;50091;55009
"29/03/2020";"France";52690;57009;46009;50375;51728;56836
"30/03/2020";"France";55172;59672;47484;52012;53365;58641
"31/03/2020";"France";57675;62380;48937;53630;54965;60407
"01/04/2020";"France";60236;65152;50489;55319;56559;62189
"02/04/2020";"France";62653;67761;52046;57020;58114;63904
"03/04/2020";"France";65169;70478;53600;58706;59779;65755
"04/04/2020";"France";67633;73121;55138;60374;61394;67510
"05/04/2020";"France";70044;75745;56654;62037;63004;69272
"06/04/2020";"France";72482;78378;58141;63686;64591;71003
"07/04/2020";"France";74878;80966;59679;65361;66177;72743
"08/04/2020";"France";77207;83462;61201;67025;67728;74459
"09/04/2020";"France";79473;85870;62684;68647;69334;76194
"10/04/2020";"France";81784;88344;64214;70314;70997;77998
"11/04/2020";"France";83963;90663;65666;71921;72558;79704
"12/04/2020";"France";85994;92825;67145;73544;74136;81438
"13/04/2020";"France";88111;95090;68584;75100;75654;83108
"14/04/2020";"France";90174;97295;69965;76619;77122;84724
"15/04/2020";"France";92188;99406;71457;78242;78630;86391
"16/04/2020";"France";94083;101410;72997;79909;80176;88083
"17/04/2020";"France";96116;103536;74584;81636;81660;89725
"18/04/2020";"France";97970;105469;76081;83250;83154;91373
"19/04/2020";"France";99690;107285;77592;84929;84746;93119
"20/04/2020";"France";101321;NA;79119;86606;86351;94881
"21/04/2020";"France";102898;NA;80552;88171;87931;96636
"22/04/2020";"France";104403;NA;82074;89830;89363;98214
"23/04/2020";"France";105789;NA;83618;91515;90823;99815
"24/04/2020";"France";NA;NA;85229;93258;92288;101419
"25/04/2020";"France";NA;NA;86723;94901;93730;102996
"26/04/2020";"France";NA;NA;88211;96521;95153;104553
"27/04/2020";"France";NA;NA;89635;98083;96586;106122
"28/04/2020";"France";NA;NA;91075;99672;98029;107705
"29/04/2020";"France";NA;NA;92495;101226;99472;109279
"30/04/2020";"France";NA;NA;93923;102784;100887;110841
"01/03/2020";"Dept_01";11;15;12;15;10;13
"02/03/2020";"Dept_01";18;23;26;34;25;29
"03/03/2020";"Dept_01";30;37;37;46;38;48
"04/03/2020";"Dept_01";38;47;46;56;51;62
"05/03/2020";"Dept_01";51;62;58;72;69;83
"06/03/2020";"Dept_01";64;76;64;82;82;97
"07/03/2020";"Dept_01";77;93;72;91;98;115
"08/03/2020";"Dept_01";88;104;82;103;109;128
"09/03/2020";"Dept_01";100;116;89;112;118;141
"10/03/2020";"Dept_01";113;131;101;124;129;155
"11/03/2020";"Dept_01";124;143;114;139;134;161
"12/03/2020";"Dept_01";130;151;118;144;149;178
"13/03/2020";"Dept_01";146;169;127;155;161;192
"14/03/2020";"Dept_01";158;182;142;171;170;203
"15/03/2020";"Dept_01";176;202;153;183;182;216
"16/03/2020";"Dept_01";184;211;164;195;190;225
"17/03/2020";"Dept_01";202;229;175;207;201;237
"18/03/2020";"Dept_01";216;247;182;217;212;255
"19/03/2020";"Dept_01";233;266;188;228;225;272
"20/03/2020";"Dept_01";239;274;199;241;236;283
"21/03/2020";"Dept_01";251;293;209;252;252;303
"22/03/2020";"Dept_01";260;302;217;264;259;313
"23/03/2020";"Dept_01";270;316;230;278;276;331
"24/03/2020";"Dept_01";279;329;244;293;289;345
"25/03/2020";"Dept_01";288;342;255;306;298;356
"26/03/2020";"Dept_01";302;358;266;319;308;366
"27/03/2020";"Dept_01";311;376;275;331;321;382
"28/03/2020";"Dept_01";321;389;289;352;330;394
"29/03/2020";"Dept_01";331;407;299;363;344;412
"30/03/2020";"Dept_01";346;429;313;380;361;429
"31/03/2020";"Dept_01";364;452;318;388;373;443
"01/04/2020";"Dept_01";374;469;329;400;382;455
"02/04/2020";"Dept_01";384;486;341;414;398;471
"03/04/2020";"Dept_01";400;503;352;427;407;481
"04/04/2020";"Dept_01";415;522;367;445;416;490
"05/04/2020";"Dept_01";426;536;375;454;423;499
"06/04/2020";"Dept_01";438;554;389;470;437;515
"07/04/2020";"Dept_01";463;582;402;485;456;534
"08/04/2020";"Dept_01";479;600;406;492;469;548
"09/04/2020";"Dept_01";495;624;418;504;481;561
"10/04/2020";"Dept_01";501;632;428;517;490;575
"11/04/2020";"Dept_01";510;643;431;522;500;588
"12/04/2020";"Dept_01";522;658;442;533;506;595
"13/04/2020";"Dept_01";537;676;448;540;514;606
"14/04/2020";"Dept_01";547;691;458;551;524;624
"15/04/2020";"Dept_01";560;704;465;559;532;634
"16/04/2020";"Dept_01";568;717;478;574;543;646
"17/04/2020";"Dept_01";575;727;492;588;555;660
"18/04/2020";"Dept_01";583;738;497;597;567;672
"19/04/2020";"Dept_01";597;757;504;610;581;688
"20/04/2020";"Dept_01";611;NA;516;626;593;701
