"","Date_evenement","Total_deces_2020","Freq"
"1","01-mars",1778,0
"2","02-mars",3557,1779
"3","03-mars",5320,1763
"4","04-mars",7129,1809
"5","05-mars",8900,1771
"6","06-mars",10740,1840
"7","07-mars",12428,1688
"8","08-mars",14137,1709
"9","09-mars",15959,1822
"10","10-mars",17784,1825
"11","11-mars",19684,1900
"12","12-mars",21482,1798
"13","13-mars",23261,1779
"14","14-mars",25041,1780
"15","15-mars",26886,1845
"16","16-mars",28877,1991
"17","17-mars",30921,2044
"18","18-mars",32929,2008
"19","19-mars",35049,2120
"20","20-mars",37088,2039
"21","21-mars",39025,1937
"22","22-mars",41032,2007
"23","23-mars",43197,2165
"24","24-mars",45364,2167
"25","25-mars",47696,2332
"26","26-mars",50078,2382
"27","27-mars",52493,2415
"28","28-mars",55015,2522
"29","29-mars",57398,2383
"30","30-mars",60078,2680
"31","31-mars",62822,2744
"32","01-avr.",65617,2795
"33","02-avr.",68260,2643
"34","03-avr.",71014,2754
"35","04-avr.",73697,2683
"36","05-avr.",76373,2676
"37","06-avr.",79069,2696
"38","07-avr.",81717,2648
"39","08-avr.",84302,2585
"40","09-avr.",86807,2505
"41","10-avr.",89378,2571
"42","11-avr.",91803,2425
"43","12-avr.",94058,2255
"44","13-avr.",96422,2364
"45","14-avr.",98741,2319
"46","15-avr.",100982,2241
"47","16-avr.",103154,2172
"48","17-avr.",105444,2290
"49","18-avr.",107572,2128
"50","19-avr.",109563,1991
"51","20-avr.",111455,1892
"52","21-avr.",113354,1899
"53","22-avr.",115229,1875
"54","23-avr.",117101,1872
"55","24-avr.",118936,1835
"56","25-avr.",120742,1806
"57","26-avr.",122438,1696
"58","27-avr.",124089,1651
"59","28-avr.",125815,1726
"60","29-avr.",127489,1674
"61","30-avr.",129084,1595
"62","01-mai",130600,1516
"63","02-mai",132180,1580
"64","03-mai",133725,1545
"65","04-mai",135375,1650
"66","05-mai",136983,1608
"67","06-mai",138558,1575
"68","07-mai",140113,1555
"69","08-mai",141667,1554
"70","09-mai",143158,1491
"71","10-mai",144668,1510
"72","11-mai",146113,1445
"73","12-mai",147591,1478
"74","13-mai",149096,1505
"75","14-mai",150530,1434
"76","15-mai",152049,1519
"77","16-mai",153473,1424
"78","17-mai",154856,1383
"79","18-mai",156302,1446
"80","19-mai",NA,NA
"81","20-mai",NA,NA
"82","21-mai",NA,NA
"83","22-mai",NA,NA
"84","23-mai",NA,NA
"85","24-mai",NA,NA
"86","25-mai",NA,NA
"87","26-mai",NA,NA
"88","27-mai",NA,NA
"89","28-mai",NA,NA
"90","29-mai",NA,NA
"91","30-mai",NA,NA
"92","31-mai",NA,NA
