Date;Deces
2020-03-01;1757
2020-03-02;1771
2020-03-03;1750
2020-03-04;1781
2020-03-05;1756
2020-03-06;1813
2020-03-07;1663
2020-03-08;1681
2020-03-09;1793
2020-03-10;1787
2020-03-11;1852
2020-03-12;1744
2020-03-13;1746
2020-03-14;1714
2020-03-15;1797
2020-03-16;1933
2020-03-17;1959
2020-03-18;1928
2020-03-19;2025
2020-03-20;1953
2020-03-21;1844
2020-03-22;1908
2020-03-23;2039
2020-03-24;2034
2020-03-25;2170
2020-03-26;2203
2020-03-27;2210
2020-03-28;2234
2020-03-29;2148
2020-03-30;2448
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
