"","Date","Deces","Annee"
"1",2020-01-01,2024,"2018"
"2",2020-01-02,2140,"2018"
"3",2020-01-03,2132,"2018"
"4",2020-01-04,2158,"2018"
"5",2020-01-05,2098,"2018"
"6",2020-01-06,2013,"2018"
"7",2020-01-07,2005,"2018"
"8",2020-01-08,2072,"2018"
"9",2020-01-09,2058,"2018"
"10",2020-01-10,1967,"2018"
"11",2020-01-11,2032,"2018"
"12",2020-01-12,1992,"2018"
"13",2020-01-13,1989,"2018"
"14",2020-01-14,1920,"2018"
"15",2020-01-15,1844,"2018"
"16",2020-01-16,1982,"2018"
"17",2020-01-17,1988,"2018"
"18",2020-01-18,1932,"2018"
"19",2020-01-19,1958,"2018"
"20",2020-01-20,1919,"2018"
"21",2020-01-21,1965,"2018"
"22",2020-01-22,1888,"2018"
"23",2020-01-23,1861,"2018"
"24",2020-01-24,1897,"2018"
"25",2020-01-25,1879,"2018"
"26",2020-01-26,1824,"2018"
"27",2020-01-27,1782,"2018"
"28",2020-01-28,1730,"2018"
"29",2020-01-29,1813,"2018"
"30",2020-01-30,1834,"2018"
"31",2020-01-31,1829,"2018"
"32",2020-02-01,1769,"2018"
"33",2020-02-02,1789,"2018"
"34",2020-02-03,1746,"2018"
"35",2020-02-04,1790,"2018"
"36",2020-02-05,1886,"2018"
"37",2020-02-06,1892,"2018"
"38",2020-02-07,1861,"2018"
"39",2020-02-08,1824,"2018"
"40",2020-02-09,1862,"2018"
"41",2020-02-10,1942,"2018"
"42",2020-02-11,1865,"2018"
"43",2020-02-12,1841,"2018"
"44",2020-02-13,1894,"2018"
"45",2020-02-14,1877,"2018"
"46",2020-02-15,1811,"2018"
"47",2020-02-16,1990,"2018"
"48",2020-02-17,1874,"2018"
"49",2020-02-18,1783,"2018"
"50",2020-02-19,1974,"2018"
"51",2020-02-20,1939,"2018"
"52",2020-02-21,1877,"2018"
"53",2020-02-22,1871,"2018"
"54",2020-02-23,1971,"2018"
"55",2020-02-24,1942,"2018"
"56",2020-02-25,1948,"2018"
"57",2020-02-26,2022,"2018"
"58",2020-02-27,1992,"2018"
"59",2020-02-28,1987,"2018"
"60",2020-03-01,2160,"2018"
"61",2020-03-02,2213,"2018"
"62",2020-03-03,2155,"2018"
"63",2020-03-04,2117,"2018"
"64",2020-03-05,2223,"2018"
"65",2020-03-06,2186,"2018"
"66",2020-03-07,2078,"2018"
"67",2020-03-08,2134,"2018"
"68",2020-03-09,2084,"2018"
"69",2020-03-10,2109,"2018"
"70",2020-03-11,1959,"2018"
"71",2020-03-12,2064,"2018"
"72",2020-03-13,1998,"2018"
"73",2020-03-14,1950,"2018"
"74",2020-03-15,1922,"2018"
"75",2020-03-16,1921,"2018"
"76",2020-03-17,1862,"2018"
"77",2020-03-18,1809,"2018"
"78",2020-03-19,1847,"2018"
"79",2020-03-20,1807,"2018"
"80",2020-03-21,1918,"2018"
"81",2020-03-22,1908,"2018"
"82",2020-03-23,1854,"2018"
"83",2020-03-24,1907,"2018"
"84",2020-03-25,1838,"2018"
"85",2020-03-26,1869,"2018"
"86",2020-03-27,1885,"2018"
"87",2020-03-28,1847,"2018"
"88",2020-03-29,1845,"2018"
"89",2020-03-30,1823,"2018"
"90",2020-03-31,1778,"2018"
"91",2020-04-01,1794,"2018"
"92",2020-04-02,1732,"2018"
"93",2020-04-03,1870,"2018"
"94",2020-04-04,1772,"2018"
"95",2020-04-05,1778,"2018"
"96",2020-04-06,1755,"2018"
"97",2020-04-07,1765,"2018"
"98",2020-04-08,1741,"2018"
"99",2020-04-09,1763,"2018"
"100",2020-04-10,1820,"2018"
"101",2020-04-11,1728,"2018"
"102",2020-04-12,1761,"2018"
"103",2020-04-13,1687,"2018"
"104",2020-04-14,1638,"2018"
"105",2020-04-15,1681,"2018"
"106",2020-04-16,1706,"2018"
"107",2020-04-17,1658,"2018"
"108",2020-04-18,1662,"2018"
"109",2020-04-19,1764,"2018"
"110",2020-04-20,1775,"2018"
"111",2020-04-21,1766,"2018"
"112",2020-04-22,1596,"2018"
"113",2020-04-23,1619,"2018"
"114",2020-04-24,1628,"2018"
"115",2020-04-25,1605,"2018"
"116",2020-04-26,1567,"2018"
"117",2020-04-27,1593,"2018"
"118",2020-04-28,1602,"2018"
"119",2020-04-29,1595,"2018"
"120",2020-04-30,1585,"2018"
"121",2020-05-01,1499,"2018"
"122",2020-05-02,1602,"2018"
"123",2020-05-03,1493,"2018"
"124",2020-05-04,1655,"2018"
"125",2020-05-05,1625,"2018"
"126",2020-05-06,1609,"2018"
"127",2020-05-07,1611,"2018"
"128",2020-05-08,1565,"2018"
"129",2020-05-09,1546,"2018"
"130",2020-05-10,1462,"2018"
"131",2020-05-11,1597,"2018"
"132",2020-05-12,1528,"2018"
"133",2020-05-13,1408,"2018"
"134",2020-05-14,1493,"2018"
"135",2020-05-15,1508,"2018"
"136",2020-05-16,1559,"2018"
"137",2020-05-17,1564,"2018"
"138",2020-05-18,1599,"2018"
"139",2020-05-19,1535,"2018"
"140",2020-05-20,1545,"2018"
"141",2020-05-21,1576,"2018"
"142",2020-05-22,1558,"2018"
"143",2020-05-23,1629,"2018"
"144",2020-05-24,1608,"2018"
"145",2020-05-25,1580,"2018"
"146",2020-05-26,1612,"2018"
"147",2020-05-27,1583,"2018"
"148",2020-05-28,1625,"2018"
"149",2020-05-29,1588,"2018"
"150",2020-05-30,1559,"2018"
"151",2020-05-31,1505,"2018"
"152",2020-06-01,1492,"2018"
"153",2020-06-02,1555,"2018"
"154",2020-06-03,1528,"2018"
"155",2020-06-04,1518,"2018"
"156",2020-06-05,1454,"2018"
"157",2020-06-06,1488,"2018"
"158",2020-06-07,1497,"2018"
"159",2020-06-08,1595,"2018"
"160",2020-06-09,1493,"2018"
"161",2020-06-10,1462,"2018"
"162",2020-06-11,1519,"2018"
"163",2020-06-12,1534,"2018"
"164",2020-06-13,1441,"2018"
"165",2020-06-14,1446,"2018"
"166",2020-06-15,1509,"2018"
"167",2020-06-16,1468,"2018"
"168",2020-06-17,1459,"2018"
"169",2020-06-18,1453,"2018"
"170",2020-06-19,1540,"2018"
"171",2020-06-20,1571,"2018"
"172",2020-06-21,1578,"2018"
"173",2020-06-22,1523,"2018"
"174",2020-06-23,1422,"2018"
"175",2020-06-24,1488,"2018"
"176",2020-06-25,1498,"2018"
"177",2020-06-26,1599,"2018"
"178",2020-06-27,1624,"2018"
"179",2020-06-28,1638,"2018"
"180",2020-06-29,1597,"2018"
"181",2020-06-30,1579,"2018"
"182",2020-07-01,1726,"2018"
"183",2020-07-02,1667,"2018"
"184",2020-07-03,1694,"2018"
"185",2020-07-04,1619,"2018"
"186",2020-07-05,1587,"2018"
"187",2020-07-06,1524,"2018"
"188",2020-07-07,1540,"2018"
"189",2020-07-08,1512,"2018"
"190",2020-07-09,1568,"2018"
"191",2020-07-10,1569,"2018"
"192",2020-07-11,1459,"2018"
"193",2020-07-12,1488,"2018"
"194",2020-07-13,1528,"2018"
"195",2020-07-14,1504,"2018"
"196",2020-07-15,1507,"2018"
"197",2020-07-16,1610,"2018"
"198",2020-07-17,1551,"2018"
"199",2020-07-18,1565,"2018"
"200",2020-07-19,1637,"2018"
"201",2020-07-20,1537,"2018"
"202",2020-07-21,1528,"2018"
"203",2020-07-22,1444,"2018"
"204",2020-07-23,1564,"2018"
"205",2020-07-24,1594,"2018"
"206",2020-07-25,1700,"2018"
"207",2020-07-26,1609,"2018"
"208",2020-07-27,1712,"2018"
"209",2020-07-28,1608,"2018"
"210",2020-07-29,1521,"2018"
"211",2020-07-30,1618,"2018"
"212",2020-07-31,1572,"2018"
"213",2020-08-01,1580,"2018"
"214",2020-08-02,1516,"2018"
"215",2020-08-03,1578,"2018"
"216",2020-08-04,1671,"2018"
"217",2020-08-05,1607,"2018"
"218",2020-08-06,1699,"2018"
"219",2020-08-07,1790,"2018"
"220",2020-08-08,1684,"2018"
"221",2020-08-09,1555,"2018"
"222",2020-08-10,1452,"2018"
"223",2020-08-11,1426,"2018"
"224",2020-08-12,1530,"2018"
"225",2020-08-13,1522,"2018"
"226",2020-08-14,1551,"2018"
"227",2020-08-15,1406,"2018"
"228",2020-08-16,1473,"2018"
"229",2020-08-17,1514,"2018"
"230",2020-08-18,1410,"2018"
"231",2020-08-19,1416,"2018"
"232",2020-08-20,1568,"2018"
"233",2020-08-21,1585,"2018"
"234",2020-08-22,1593,"2018"
"235",2020-08-23,1584,"2018"
"236",2020-08-24,1519,"2018"
"237",2020-08-25,1480,"2018"
"238",2020-08-26,1408,"2018"
"239",2020-08-27,1535,"2018"
"240",2020-08-28,1600,"2018"
"241",2020-08-29,1587,"2018"
"242",2020-08-30,1433,"2018"
"243",2020-08-31,1490,"2018"
"244",2020-09-01,1414,"2018"
"245",2020-09-02,1419,"2018"
"246",2020-09-03,1496,"2018"
"247",2020-09-04,1578,"2018"
"248",2020-09-05,1628,"2018"
"249",2020-09-06,1569,"2018"
"250",2020-09-07,1608,"2018"
"251",2020-09-08,1428,"2018"
"252",2020-09-09,1542,"2018"
"253",2020-09-10,1585,"2018"
"254",2020-09-11,1571,"2018"
"255",2020-09-12,1586,"2018"
"256",2020-09-13,1609,"2018"
"257",2020-09-14,1540,"2018"
"258",2020-09-15,1538,"2018"
"259",2020-09-16,1447,"2018"
"260",2020-09-17,1574,"2018"
"261",2020-09-18,1533,"2018"
"262",2020-09-19,1574,"2018"
"263",2020-09-20,1601,"2018"
"264",2020-09-21,1563,"2018"
"265",2020-09-22,1499,"2018"
"266",2020-09-23,1520,"2018"
"267",2020-09-24,1479,"2018"
"268",2020-09-25,1524,"2018"
"269",2020-09-26,1454,"2018"
"270",2020-09-27,1632,"2018"
"271",2020-09-28,1651,"2018"
"272",2020-09-29,1560,"2018"
"273",2020-09-30,1470,"2018"
"274",2020-10-01,1578,"2018"
"275",2020-10-02,1585,"2018"
"276",2020-10-03,1618,"2018"
"277",2020-10-04,1726,"2018"
"278",2020-10-05,1647,"2018"
"279",2020-10-06,1678,"2018"
"280",2020-10-07,1534,"2018"
"281",2020-10-08,1534,"2018"
"282",2020-10-09,1661,"2018"
"283",2020-10-10,1669,"2018"
"284",2020-10-11,1686,"2018"
"285",2020-10-12,1670,"2018"
"286",2020-10-13,1608,"2018"
"287",2020-10-14,1620,"2018"
"288",2020-10-15,1660,"2018"
"289",2020-10-16,1637,"2018"
"290",2020-10-17,1591,"2018"
"291",2020-10-18,1569,"2018"
"292",2020-10-19,1561,"2018"
"293",2020-10-20,1523,"2018"
"294",2020-10-21,1489,"2018"
"295",2020-10-22,1557,"2018"
"296",2020-10-23,1646,"2018"
"297",2020-10-24,1609,"2018"
"298",2020-10-25,1664,"2018"
"299",2020-10-26,1572,"2018"
"300",2020-10-27,1599,"2018"
"301",2020-10-28,1613,"2018"
"302",2020-10-29,1594,"2018"
"303",2020-10-30,1738,"2018"
"304",2020-10-31,1664,"2018"
"305",2020-11-01,1586,"2018"
"306",2020-11-02,1599,"2018"
"307",2020-11-03,1599,"2018"
"308",2020-11-04,1622,"2018"
"309",2020-11-05,1752,"2018"
"310",2020-11-06,1697,"2018"
"311",2020-11-07,1713,"2018"
"312",2020-11-08,1648,"2018"
"313",2020-11-09,1602,"2018"
"314",2020-11-10,1674,"2018"
"315",2020-11-11,1625,"2018"
"316",2020-11-12,1682,"2018"
"317",2020-11-13,1738,"2018"
"318",2020-11-14,1602,"2018"
"319",2020-11-15,1639,"2018"
"320",2020-11-16,1578,"2018"
"321",2020-11-17,1619,"2018"
"322",2020-11-18,1565,"2018"
"323",2020-11-19,1606,"2018"
"324",2020-11-20,1642,"2018"
"325",2020-11-21,1650,"2018"
"326",2020-11-22,1601,"2018"
"327",2020-11-23,1699,"2018"
"328",2020-11-24,1716,"2018"
"329",2020-11-25,1665,"2018"
"330",2020-11-26,1642,"2018"
"331",2020-11-27,1672,"2018"
"332",2020-11-28,1678,"2018"
"333",2020-11-29,1656,"2018"
"334",2020-11-30,1647,"2018"
"335",2020-12-01,1683,"2018"
"336",2020-12-02,1627,"2018"
"337",2020-12-03,1654,"2018"
"338",2020-12-04,1641,"2018"
"339",2020-12-05,1627,"2018"
"340",2020-12-06,1619,"2018"
"341",2020-12-07,1586,"2018"
"342",2020-12-08,1579,"2018"
"343",2020-12-09,1496,"2018"
"344",2020-12-10,1533,"2018"
"345",2020-12-11,1562,"2018"
"346",2020-12-12,1597,"2018"
"347",2020-12-13,1467,"2018"
"348",2020-12-14,1394,"2018"
"349",2020-12-15,1407,"2018"
"350",2020-12-16,1461,"2018"
"351",2020-12-17,1447,"2018"
"352",2020-12-18,1494,"2018"
"353",2020-12-19,1462,"2018"
"354",2020-12-20,1412,"2018"
"355",2020-12-21,1327,"2018"
"356",2020-12-22,1270,"2018"
"357",2020-12-23,1273,"2018"
"358",2020-12-24,1242,"2018"
"359",2020-12-25,1157,"2018"
"360",2020-12-26,1013,"2018"
"361",2020-12-27,779,"2018"
"362",2020-12-28,312,"2018"
"363",2020-12-29,23,"2018"
"364",2020-12-30,2,"2018"
"365",2020-01-01,1836,"2019"
"366",2020-01-02,1935,"2019"
"367",2020-01-03,1878,"2019"
"368",2020-01-04,1899,"2019"
"369",2020-01-05,1918,"2019"
"370",2020-01-06,1895,"2019"
