"","Date","Deces","Annee"
"1",2020-01-01,1612,2003
"2",2020-01-02,1770,2003
"3",2020-01-03,1678,2003
"4",2020-01-04,1578,2003
"5",2020-01-05,1539,2003
"6",2020-01-06,1636,2003
"7",2020-01-07,1667,2003
"8",2020-01-08,1712,2003
"9",2020-01-09,1769,2003
"10",2020-01-10,1673,2003
"11",2020-01-11,1635,2003
"12",2020-01-12,1756,2003
"13",2020-01-13,1739,2003
"14",2020-01-14,1766,2003
"15",2020-01-15,1839,2003
"16",2020-01-16,1715,2003
"17",2020-01-17,1717,2003
"18",2020-01-18,1701,2003
"19",2020-01-19,1752,2003
"20",2020-01-20,1835,2003
"21",2020-01-21,1761,2003
"22",2020-01-22,1687,2003
"23",2020-01-23,1666,2003
"24",2020-01-24,1536,2003
"25",2020-01-25,1614,2003
"26",2020-01-26,1552,2003
"27",2020-01-27,1715,2003
"28",2020-01-28,1575,2003
"29",2020-01-29,1577,2003
"30",2020-01-30,1658,2003
"31",2020-01-31,1611,2003
"32",2020-02-01,1575,2003
"33",2020-02-02,1554,2003
"34",2020-02-03,1701,2003
"35",2020-02-04,1715,2003
"36",2020-02-05,1609,2003
"37",2020-02-06,1613,2003
"38",2020-02-07,1641,2003
"39",2020-02-08,1609,2003
"40",2020-02-09,1592,2003
"41",2020-02-10,1623,2003
"42",2020-02-11,1612,2003
"43",2020-02-12,1665,2003
"44",2020-02-13,1614,2003
"45",2020-02-14,1593,2003
"46",2020-02-15,1601,2003
"47",2020-02-16,1466,2003
"48",2020-02-17,1640,2003
"49",2020-02-18,1698,2003
"50",2020-02-19,1648,2003
"51",2020-02-20,1646,2003
"52",2020-02-21,1617,2003
"53",2020-02-22,1616,2003
"54",2020-02-23,1688,2003
"55",2020-02-24,1670,2003
"56",2020-02-25,1665,2003
"57",2020-02-26,1645,2003
"58",2020-02-27,1698,2003
"59",2020-02-28,1678,2003
"60",2020-03-01,1668,2003
"61",2020-03-02,1601,2003
"62",2020-03-03,1670,2003
"63",2020-03-04,1617,2003
"64",2020-03-05,1642,2003
"65",2020-03-06,1565,2003
"66",2020-03-07,1599,2003
"67",2020-03-08,1552,2003
"68",2020-03-09,1495,2003
"69",2020-03-10,1589,2003
"70",2020-03-11,1632,2003
"71",2020-03-12,1591,2003
"72",2020-03-13,1537,2003
"73",2020-03-14,1537,2003
"74",2020-03-15,1526,2003
"75",2020-03-16,1520,2003
"76",2020-03-17,1555,2003
"77",2020-03-18,1549,2003
"78",2020-03-19,1572,2003
"79",2020-03-20,1502,2003
"80",2020-03-21,1580,2003
"81",2020-03-22,1574,2003
"82",2020-03-23,1502,2003
"83",2020-03-24,1584,2003
"84",2020-03-25,1569,2003
"85",2020-03-26,1496,2003
"86",2020-03-27,1474,2003
"87",2020-03-28,1569,2003
"88",2020-03-29,1503,2003
"89",2020-03-30,1449,2003
"90",2020-03-31,1509,2003
"91",2020-04-01,1568,2003
"92",2020-04-02,1451,2003
"93",2020-04-03,1408,2003
"94",2020-04-04,1471,2003
"95",2020-04-05,1525,2003
"96",2020-04-06,1441,2003
"97",2020-04-07,1504,2003
"98",2020-04-08,1527,2003
"99",2020-04-09,1524,2003
"100",2020-04-10,1538,2003
"101",2020-04-11,1501,2003
"102",2020-04-12,1560,2003
"103",2020-04-13,1502,2003
"104",2020-04-14,1578,2003
"105",2020-04-15,1566,2003
"106",2020-04-16,1570,2003
"107",2020-04-17,1612,2003
"108",2020-04-18,1526,2003
"109",2020-04-19,1526,2003
"110",2020-04-20,1449,2003
"111",2020-04-21,1475,2003
"112",2020-04-22,1592,2003
"113",2020-04-23,1552,2003
"114",2020-04-24,1460,2003
"115",2020-04-25,1565,2003
"116",2020-04-26,1473,2003
"117",2020-04-27,1430,2003
"118",2020-04-28,1508,2003
"119",2020-04-29,1492,2003
"120",2020-04-30,1489,2003
"121",2020-05-01,1435,2003
"122",2020-05-02,1425,2003
"123",2020-05-03,1427,2003
"124",2020-05-04,1376,2003
"125",2020-05-05,1502,2003
"126",2020-05-06,1452,2003
"127",2020-05-07,1412,2003
"128",2020-05-08,1420,2003
"129",2020-05-09,1366,2003
"130",2020-05-10,1384,2003
"131",2020-05-11,1408,2003
"132",2020-05-12,1439,2003
"133",2020-05-13,1410,2003
"134",2020-05-14,1313,2003
"135",2020-05-15,1402,2003
"136",2020-05-16,1432,2003
"137",2020-05-17,1410,2003
"138",2020-05-18,1457,2003
"139",2020-05-19,1405,2003
"140",2020-05-20,1347,2003
"141",2020-05-21,1400,2003
"142",2020-05-22,1405,2003
"143",2020-05-23,1480,2003
"144",2020-05-24,1416,2003
"145",2020-05-25,1322,2003
"146",2020-05-26,1365,2003
"147",2020-05-27,1430,2003
"148",2020-05-28,1393,2003
"149",2020-05-29,1410,2003
"150",2020-05-30,1543,2003
