"","Date","Deces","Annee"
"1",2020-03-02,2213,"2018"
"2",2020-03-03,2155,"2018"
"3",2020-03-04,2117,"2018"
"4",2020-03-05,2223,"2018"
"5",2020-03-06,2186,"2018"
"6",2020-03-07,2078,"2018"
"7",2020-03-08,2134,"2018"
"8",2020-03-09,2084,"2018"
"9",2020-03-10,2109,"2018"
"10",2020-03-11,1959,"2018"
"11",2020-03-12,2064,"2018"
"12",2020-03-13,1998,"2018"
"13",2020-03-14,1950,"2018"
"14",2020-03-15,1922,"2018"
"15",2020-03-16,1921,"2018"
"16",2020-03-17,1862,"2018"
"17",2020-03-18,1809,"2018"
"18",2020-03-19,1847,"2018"
"19",2020-03-20,1807,"2018"
"20",2020-03-21,1918,"2018"
"21",2020-03-22,1908,"2018"
"22",2020-03-23,1854,"2018"
"23",2020-03-24,1907,"2018"
"24",2020-03-25,1838,"2018"
"25",2020-03-26,1869,"2018"
"26",2020-03-27,1885,"2018"
"27",2020-03-28,1847,"2018"
"28",2020-03-29,1845,"2018"
"29",2020-03-30,1823,"2018"
"30",2020-03-31,1778,"2018"
"31",2020-04-01,1794,"2018"
"32",2020-04-02,1732,"2018"
"33",2020-04-03,1870,"2018"
"34",2020-04-04,1772,"2018"
"35",2020-04-05,1778,"2018"
"36",2020-04-06,1755,"2018"
"37",2020-04-07,1765,"2018"
"38",2020-04-08,1741,"2018"
"39",2020-04-09,1763,"2018"
"40",2020-04-10,1820,"2018"
"41",2020-04-11,1728,"2018"
"42",2020-04-12,1761,"2018"
"43",2020-04-13,1687,"2018"
"44",2020-04-14,1638,"2018"
"45",2020-04-15,1681,"2018"
"46",2020-04-16,1706,"2018"
"47",2020-04-17,1658,"2018"
"48",2020-04-18,1662,"2018"
"49",2020-04-19,1764,"2018"
"50",2020-04-20,1775,"2018"
"51",2020-04-21,1766,"2018"
"52",2020-04-22,1596,"2018"
"53",2020-04-23,1619,"2018"
"54",2020-04-24,1628,"2018"
"55",2020-04-25,1605,"2018"
"56",2020-04-26,1567,"2018"
"57",2020-04-27,1593,"2018"
"58",2020-04-28,1602,"2018"
"59",2020-04-29,1595,"2018"
"60",2020-03-02,1937,"2019"
"61",2020-03-03,1771,"2019"
"62",2020-03-04,1909,"2019"
"63",2020-03-05,1891,"2019"
"64",2020-03-06,1889,"2019"
"65",2020-03-07,1884,"2019"
"66",2020-03-08,1828,"2019"
"67",2020-03-09,1793,"2019"
"68",2020-03-10,1700,"2019"
"69",2020-03-11,1787,"2019"
"70",2020-03-12,1731,"2019"
"71",2020-03-13,1713,"2019"
"72",2020-03-14,1745,"2019"
"73",2020-03-15,1763,"2019"
"74",2020-03-16,1739,"2019"
"75",2020-03-17,1652,"2019"
"76",2020-03-18,1777,"2019"
"77",2020-03-19,1705,"2019"
"78",2020-03-20,1677,"2019"
"79",2020-03-21,1723,"2019"
"80",2020-03-22,1699,"2019"
"81",2020-03-23,1731,"2019"
"82",2020-03-24,1651,"2019"
"83",2020-03-25,1685,"2019"
"84",2020-03-26,1651,"2019"
"85",2020-03-27,1707,"2019"
"86",2020-03-28,1714,"2019"
"87",2020-03-29,1684,"2019"
"88",2020-03-30,1660,"2019"
"89",2020-03-31,1637,"2019"
"90",2020-04-01,1714,"2019"
"91",2020-04-02,1717,"2019"
"92",2020-04-03,1707,"2019"
"93",2020-04-04,1689,"2019"
"94",2020-04-05,1680,"2019"
"95",2020-04-06,1665,"2019"
"96",2020-04-07,1696,"2019"
"97",2020-04-08,1686,"2019"
"98",2020-04-09,1646,"2019"
"99",2020-04-10,1684,"2019"
"100",2020-04-11,1629,"2019"
"101",2020-04-12,1641,"2019"
"102",2020-04-13,1567,"2019"
"103",2020-04-14,1535,"2019"
"104",2020-04-15,1636,"2019"
"105",2020-04-16,1690,"2019"
"106",2020-04-17,1746,"2019"
"107",2020-04-18,1637,"2019"
"108",2020-04-19,1693,"2019"
"109",2020-04-20,1698,"2019"
"110",2020-04-21,1575,"2019"
"111",2020-04-22,1673,"2019"
"112",2020-04-23,1704,"2019"
"113",2020-04-24,1763,"2019"
"114",2020-04-25,1655,"2019"
"115",2020-04-26,1640,"2019"
"116",2020-04-27,1577,"2019"
"117",2020-04-28,1612,"2019"
"118",2020-04-29,1583,"2019"
"119",2020-03-02,1779,"2017"
"120",2020-03-03,1749,"2017"
"121",2020-03-04,1736,"2017"
"122",2020-03-05,1554,"2017"
"123",2020-03-06,1655,"2017"
"124",2020-03-07,1720,"2017"
"125",2020-03-08,1655,"2017"
"126",2020-03-09,1725,"2017"
"127",2020-03-10,1785,"2017"
"128",2020-03-11,1696,"2017"
"129",2020-03-12,1602,"2017"
"130",2020-03-13,1732,"2017"
"131",2020-03-14,1630,"2017"
"132",2020-03-15,1579,"2017"
"133",2020-03-16,1608,"2017"
"134",2020-03-17,1620,"2017"
